molecule,atc_code
paracetamol,N02BE01
aspirin,B01AC06
ibuprofen,M01AE01
naproxen,M01AE02
diclofenac,M01AB05
aceclofenac,M01AB16
metformin,A10BA02
glimepiride,A10BB12
gliclazide,A10BB09
sitagliptin,A10BH01
amoxycillin,J01CA04
azithromycin,J01FA10
clarithromycin,J01FA09
ciprofloxacin,J01MA02
levofloxacin,J01MA12
ofloxacin,J01MA01
doxycycline,J01AA02
cefixime,J01DD08
cefpodoxime,J01DD13
metronidazole,J01XD01
telmisartan,C09CA07
losartan,C09CA01
ramipril,C09AA05
enalapril,C09AA02
amlodipine,C08CA01
metoprolol,C07AB02
atenolol,C07AB03
hydrochlorothiazide,C03AA03
chlorthalidone,C03BA04
atorvastatin,C10AA05
rosuvastatin,C10AA07
pantoprazole,A02BC02
omeprazole,A02BC01
rabeprazole,A02BC04
cetirizine,R06AE07
levocetirizine,R06AE09
montelukast,R03DC03
levothyroxine,H03AA01
prednisolone,H02AB06
dexamethasone,H02AB02
clopidogrel,B01AC04
pregabalin,N03AX16
gabapentin,N03AX12
amitriptyline,N06AA09
escitalopram,N06AB10
sertraline,N06AB06
domperidone,A03FA03
ceftriaxone,J01DD04
cefpodoxime proxetil,J01DD13
cefuroxime,J01DC02
cefuroxime axetil,J01DC02
cefoperazone,J01DD12
cefalexin,J01DB01
cefadroxil,J01DB05
piperacillin,J01CA12
meropenem,J01DH02
amikacin,J01GB06
clindamycin,J01FF01
moxifloxacin,J01MA14
tinidazole,P01AB02
ornidazole,P01AB03
albendazole,P02CA03
fluconazole,J02AC01
itraconazole,J02AC02
luliconazole,D01AC18
methylcobalamin,B03BA05
pyridoxine,A11HA02
tranexamic acid,B02AA02
chlorpheniramine,R06AB04
fexofenadine,R06AX26
cyproheptadine,R06AX02
ambroxol,R05CB06
bromhexine,R05CB02
guaifenesin,R05CA03
dextromethorphan,R05DA09
nimesulide,M01AX17
mefenamic acid,M01AG01
etoricoxib,M01AH05
thiocolchicoside,M03BX05
chlorzoxazone,M03BB03
ondansetron,A04AA01
esomeprazole,A02BC05
drotaverine,A03AD02
dicyclomine,A03AA07
simethicone,A03AX13
pioglitazone,A10BG03
teneligliptin,A10BH08
voglibose,A10BF03
olmesartan,C09CA08
olmesartan medoxomil,C09CA08
cilnidipine,C08CA14
methylprednisolone,H02AB04
deflazacort,H02AB13
clonazepam,N03AE01
alprazolam,N05BA12
nortriptyline,N06AA10
caffeine,N06BC01
betahistine,N07CA01
